county,year,CAUSE,sex,ageG,Ndeaths,YLL,pop,US2000POP
California,2010,A04,Male,5 - 14,1,82.03,2599921.36979385,39977
California,2010,A04,Male,55 - 64,8,264.15,1969247.18607936,23961
California,2010,A04,Male,65 - 74,3,70.45,1063816.78529905,18136
California,2010,A04,Male,75 - 84,3,45.74,585371.370720331,12315
California,2010,A04,Male,85 - 999,2,12.34,214525.76075746102,4259
California,2010,A04,Female,0 - 4,5,455.78,1234770.34390375,18987
California,2010,A04,Female,15 - 24,1,74.05,2691899.6871438,38077
California,2010,A04,Female,25 - 34,3,186.34,2609688.17359586,37233
California,2010,A04,Female,35 - 44,1,49.24,2574146.16573943,44659
California,2010,A04,Female,45 - 54,8,341.86,2641975.91322442,37030
California,2010,A04,Female,5 - 14,2,168.05,2486596.85248475,39977
California,2010,A04,Female,55 - 64,5,163.31,2107996.9861708498,23961
California,2010,A04,Female,65 - 74,2,46.31,1231824.0064262499,18136
California,2010,A04,Female,75 - 84,4,56.9,788773.6327572591,12315
California,2010,A04,Female,85 - 999,4,34.91,395777.0037747704,4259
California,2010,A04,Total,0 - 4,9,821.61,2525999.99210628,18987
California,2010,A04,Total,15 - 24,6,433.35,5596840.4688891005,38077
California,2010,A04,Total,25 - 34,6,375.66,5338068.65750252,37233
California,2010,A04,Total,35 - 44,6,315.19,5177189.83346018,44659
California,2010,A04,Total,45 - 54,14,597.04,5251633.09380686,37030
California,2010,A04,Total,5 - 14,3,250.07999999999998,5086518.2222786,39977
California,2010,A04,Total,55 - 64,13,427.46,4077244.17225021,23961
California,2010,A04,Total,65 - 74,5,116.75999999999999,2295640.7917253,18136
California,2010,A04,Total,75 - 84,7,102.64,1374145.00347759,12315
California,2010,A04,Total,85 - 999,6,47.25,610302.7645322314,4259
California,2010,A05,Male,0 - 4,4,363.9,1291229.64820253,18987
California,2010,A05,Male,15 - 24,0,0,2904940.7817453,38077
California,2010,A05,Male,25 - 34,1,63.11,2728380.48390666,37233
California,2010,A05,Male,35 - 44,1,48.25,2603043.66772075,44659
California,2010,A05,Male,45 - 54,3,126.11,2609657.18058244,37030
California,2010,A05,Male,5 - 14,1,86.02,2599921.36979385,39977
California,2010,A05,Male,55 - 64,4,133.51999999999998,1969247.18607936,23961
